1;adana          ;0;338;579;978;604;492;548;1005;881;903;786;633;746;689;649;857;1097;591;582;762;538;1183;496;677;809;691;216;720;780;910;196;619;69;951;908;1014;696;335;1160;377;841;358;676;397;887;198;549;858;743;288;210;708;918;803;754;721;868;428;1082;493;839;631;355;691;905;490;765;268;801;293;486;634;720;784;1039;1081;906;714;252;89;735
2;adiyaman       ;338;0;917;646;628;738;886;717;1219;1241;1039;348;414;927;987;1111;1390;769;704;1100;206;1421;284;548;522;959;151;706;678;655;317;957;407;1189;1246;727;875;421;1398;556;1079;696;1014;186;1224;163;295;1196;456;504;548;732;772;1041;757;390;883;413;1320;517;780;419;112;1029;573;619;1003;580;676;631;665;302;465;1022;751;750;1144;952;210;245;973
3;afyonkarahisar ;579;917;0;1320;596;255;287;1225;340;324;207;1099;1290;417;166;278;518;398;505;221;1110;682;961;955;1141;141;795;868;1027;1489;776;167;572;450;329;1343;504;523;659;425;340;226;97;863;308;777;1128;364;1208;444;464;823;1077;302;676;1297;676;706;581;645;998;1079;934;112;1424;479;484;368;1080;340;338;1210;1299;518;1362;1464;342;448;831;668;371
4;agri           ;978;646;1320;0;740;1056;1426;365;1635;1576;1361;352;232;1146;1403;1417;1694;987;831;1516;440;1641;492;370;182;1298;762;539;381;425;957;1373;1047;1408;1649;214;990;816;1617;940;1298;1112;1377;587;1628;809;514;1658;241;889;940;584;430;1261;730;328;894;618;1539;674;482;419;617;1432;228;841;1205;965;305;1113;985;366;424;1171;305;144;1363;1106;817;885;1192
5;amasya         ;604;628;596;740;0;331;824;679;936;842;626;642;833;411;762;683;959;247;91;817;707;906;538;375;560;574;583;322;424;1164;681;719;638;674;925;762;255;344;882;313;563;510;653;460;903;508;802;959;751;358;440;277;531;526;131;894;257;221;804;113;452;498;711;708;967;200;471;421;457;621;260;807;1001;436;781;884;628;371;647;609;458
6;ankara         ;492;738;255;1056;331;0;543;960;596;536;314;889;1080;190;421;385;665;131;240;477;900;685;751;690;876;234;654;603;762;1348;689;423;485;453;584;1078;237;316;661;183;342;259;312;653;563;579;987;619;999;275;340;558;812;305;412;1087;409;442;583;380;733;814;793;367;1215;214;266;224;815;370;74;1000;1158;286;1097;1200;407;216;718;581;237
7;antalya        ;548;886;287;1426;824;543;0;1433;346;506;473;1191;1294;683;122;544;696;686;732;221;1086;923;1054;1061;1246;421;764;1096;1164;1458;745;131;468;716;449;1448;791;616;924;570;605;321;362;955;428;746;1098;310;1301;537;545;1051;1305;568;904;1269;963;812;846;873;1226;1184;903;291;1453;683;750;461;1185;377;563;1182;1268;805;1467;1570;607;735;800;637;636
8;artvin         ;1005;717;1225;365;679;960;1433;0;1565;1452;1236;373;547;1021;1391;1293;1569;882;720;1446;511;1516;512;377;195;1203;849;357;320;755;983;1348;1074;1284;1554;203;846;823;1493;942;1174;1119;1282;607;1532;830;606;1588;465;896;947;402;148;1136;549;643;712;625;1415;617;227;426;688;1337;558;829;1059;972;312;1120;889;565;739;1026;117;336;1239;958;887;912;1068
9;aydin          ;881;1219;340;1635;936;596;346;1565;0;291;525;1401;1592;735;286;441;451;738;845;124;1412;670;1263;1270;1455;474;1097;1208;1367;1791;1078;288;813;680;128;1658;844;825;684;765;567;528;415;1165;152;1079;1430;98;1510;746;766;1163;1417;621;1016;1599;1016;1021;620;985;1338;1393;1236;272;1726;819;802;670;1394;642;679;1512;1601;858;1676;1779;505;788;1133;970;689
10;balikesir      ;903;1241;324;1576;842;536;506;1452;291;0;257;1412;1603;431;394;152;194;663;786;285;1424;419;1274;1211;1397;303;1119;1095;1254;1813;1100;395;896;391;175;1599;677;848;433;706;278;550;227;1176;139;1101;1453;390;1522;769;788;1050;1304;316;903;1610;858;987;369;926;1225;1335;1258;225;1738;760;498;692;1294;664;620;1523;1623;586;1561;1720;216;564;1155;992;384
